"species","volume"
"Ilex_glomerata",1399.3110457806
"Asparagus_filicinus",122.765360827198
"Albizia_lucidior",316.43435431067
"Aporosa_yunnanensis",3246.10088626069
"Nepeta_ucranica",10793.3105277986
"Mallotus_decipiens",2958.95668541924
"Ilex_viridis",697.74420083743
"Isodon_ternifolius",258.882730015878
"Eriophyton_wallichii",20013.9853600997
"Illicium_simonsii",21657.0144185895
"Smilax_scobinicaulis",5326.11165840189
"Salvia_przewalskii",1521.7104406831
"Mallotus_apelta",98.7061989295766
"Juncus_setchuensis",5870.04093345743
"Primula_orbicularis",3025.89631219113
"Leucas_ciliata",8642.7573522421
"Limonium_suffruticosum",61.90601020685
"Lilium_lophophorum",945.923080617604
"Euphorbia_sieboldiana",5732.30949489094
"Lilium_distichum",109.077920585835
"Musa_rubra",4445.16463856326
"Leucosceptrum_canum",102.341282852464
"Acanthocalyx_alba",355.399323223215
"Juncus_leucanthus",322.691115277783
"Dipelta_yunnanensis",181.006040820505
"Mosla_cavaleriei",114.079847561003
"Juncus_kingii",97.6521017762621
"Disporopsis_longifolia",43.3675759183276
"Lilium_brownii",486.850502541565
"Itoa_orientalis",497.382902328871
"Tamarix_arceuthoides",313.281228874746
"Tamarix_laxa",610.184511685099
"Disporum_trabeculatum",3481.85934957983
"Juncus_ochraceus",575.448150790825
"Androsace_erecta",356.196977502329
"Reineckea_carnea",1052.72960568202
"Euphorbia_stracheyi",651.654048751313
"Lysimachia_lobelioides",188.938292509461
"Smilax_glabra",5745.1181459772
"Macaranga_henryi",5235.54768173968
"Aletris_pauciflora",205.666465045993
"Maianthemum_fuscum",4683.18418711803
"Ceratostigma_griffithii",185.482137923759
"Musa_basjoo",22.7125145156798
"Smilax_cocculoides",752.921567699129
"Euphorbia_tibetica",480.254927426861
"Allium_przewalskianum",229.996974099479
"Thymus_mongolicus",1345.01736952728
"Lilium_davidii",9318.16463871614
"Phyllanthus_glaucus",2473.05201451111
"Primula_obconica",2983.50025079147
"Ilex_aculeolata",1129.85136301457
"Juncus_wallichianus",3594.75387917082
"Salvia_miltiorrhiza",490.495544520158
"Lysimachia_pentapetala",1026.17779699797
"Styrax_dasyanthus",5329.75061618977
"Leptopus_chinensis",778.005448322348
"Patrinia_heterophylla",284.964965601965
"Primula_sieboldii",2895.82154150559
"Melliodendron_xylocarpum",514.170658135287
"Dracocephalum_moldavica",103.297344106574
"Primula_firmipes",442.551846288607
"Chlorophytum_nepalense",731.820067737559
"Lysimachia_taliensis",295.823678988376
"Ophiopogon_bodinieri",76.7485413255616
"Allium_prattii",426.398191780184
"Limonium_otolepis",180.450392677429
"Tamarix_hohenackeri",130.115083586369
"Allium_bidentatum",108.732284560655
"Pogostemon_glaber",416.686532172182
"Lysimachia_grammica",566.428325411818
"Juniperus_przewalskii",146.726443538234
"Illicium_lanceolatum",107.077524531572
"Primula_macrophylla",1831.81878161524
"Primula_saxatilis",4882.26784290092
"Leonurus_pseudomacranthus",184.525332300492
"Ilex_szechwanensis",277.322355619759
"Juncus_concinnus",376.07358756518
"Allium_tenuissimum",1638.48325574411
"Allium_carolinianum",84.9916588256552
"Allium_ledebourianum",1559.00544824832
"Allium_condensatum",118.896617807646
"Allium_flavidum",2984.54588694963
"Allium_subtilissimum",97.0045942559169
"Allium_oreoprasum",457.589118622788
"Allium_neriniflorum",2155.32273020514
"Primula_septemloba",932.05766451636
"Elsholtzia_fruticosa",210.94559399215
"Androsace_spinulifera",16.2961344235468
"Primula_sonchifolia",197.637400454031
"Primula_wilsonii",83.0154875520953
"Omphalogramma_vinciflorum",130.556177052339
"Primula_vialii",351.471043123095
"Primula_poissonii",332.9587834052
"Scutellaria_amoena",304.485578397217
"Stachys_kouyangensis",369.024772726395
"Primula_szechuanica",127.291474611858
"Primula_serratifolia",103.902587385017
"Primula_dryadifolia",234.45554990037
"Primula_blinii",231.973264217219
"Clinopodium_megalanthum",395.847222007514
"Rehderodendron_macrocarpum",39.6556446843275
"Primula_boreiocalliantha",545.262398585531
"Primula_deflexa",111.470298000743
"Lysimachia_phyllocephala",1207.59089169769
"Elsholtzia_pilosa",133.00362316362
"Lysimachia_decurrens",474.082196098089
"Elsholtzia_kachinensis",188.072203654393
"Primula_heucherifolia",767.398583558984
"Isodon_adenanthus",243.974222185088
"Primula_bulleyana",412.945357160247
"Primula_flaccida",1607.13485959947
"Primula_purdomii",45.1736893335261
"Lysimachia_foenum-graecum",239.196985654998
"Primula_gemmifera",1196.27592921169
"Dracocephalum_heterophyllum",27.063071773693
